country,title,sku,reg_pr,act_pr,brand,sticker,cat_1,cat_2,cat_3,url
DE,Wanderkleid EXploor Damen Luxurious marineblau ,8731968,"19,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wanderkleid-exploor-damen-luxurious/_/R-p-332929?mc=8731968&c=BLAU
DE,Schirmmütze Cap Travel 500 braun,8299246,"7,99€",,FORCLAZ,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/schirmmutze-cap-travel-500/_/R-p-4961?mc=8299246&c=BRAUN
DE,Sonnenbrille Wandern MH530 Kategorie 3 polarisierend Damen schwarz,8272198,"19,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh530-kategorie-3-polarisierend-damen-schwarz/_/R-p-15293?mc=8272198&c=SCHWARZ
DE,Sonnenbrille MH OTG 500W polarisierende Gläser Erwachsene Kategorie 3 braun,8327909,"19,99€","14,99€",QUECHUA,0,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-mh-otg-500w-polarisierende-glaser-erwachsene-kategorie-3-braun/_/R-p-115265?mc=8327909&c=BRAUN
DE,Wandersocken MH500 Hoch 2 Paar bordeaux,8616557,"17,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandersocken-mh500-hoch-2-paar/_/R-p-330200?mc=8616557&c=BORDEAUX
DE,Sweatshirt Naturwandern NH500 Damen weiss,8551543,"17,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/pullover-naturwandern-nh500-damen-pflaume/_/R-p-172117?mc=8551543&c=GRAU
DE,Regenjacke Speed Hiking FH500 Rain Ultraleicht Damen blau ,8670531,"69,99€",,QUECHUA,NEU,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/regenjacke-speed-hiking-fh500-rain-wasserdicht-ultraleicht-damen/_/R-p-325234?mc=8670531&c=GRAU_BLAU
DE,Funktionsshirt kurzarm Fussball Keepdry 500 Damen/Herren schwarz,8497599,"13,99€",,KIPSTA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/funktionsshirt-kurzarm-fussball-keepdry-500-damen-herren/_/R-p-195073?mc=8497599&c=SCHWARZ
DE,Sonnenbrille Wandern MH530 Kategorie 3 Erwachsene schwarz/grün,8581422,"19,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh530-kategorie-3-erwachsene/_/R-p-324410?mc=8581422&c=SCHWARZ
DE,Wanderjacke Naturwandern NH150 Damen rosa,963816,"19,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wanderjacke-naturwandern-nh150-damen/_/R-p-326468?mc=963816&c=VIOLETT
DE,Sonnenbrille MH590 polarisierend Erwachsene Kategorie 4 schwarz,8548667,"39,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-mh590-polarisierend-erwachsene-kategorie-4/_/R-p-181313?mc=8548667&c=SCHWARZ
DE,Fleecejacke Winterwandern SH500 X-Warm Damen weiss,8527400,"44,99€","29,99€",QUECHUA,0,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/fleecejacke-winterwandern-sh500-x-warm-damen/_/R-p-305155?mc=8527400&c=WEIß
DE,Regenjacke Naturwandern Raincut Damen blau,8549506,"9,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/regenjacke-naturwandern-raincut-damen/_/R-p-134605?mc=8549506&c=BLAU_TÜRKIS
DE,Sonnenbrille Wandern MH550W Erwachsene Damen Kategorie 3 schwarz,8581419,"19,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh550w-erwachsene-damen-kategorie-3-schwarz/_/R-p-324289?mc=8581419&c=GRAU
DE,Schirmmütze Cap Travel 100 türkis,8526138,"3,99€",,FORCLAZ,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/schirmmutze-cap-travel-100/_/R-p-302963?mc=8526138&c=BLAU
DE,Sonnenbrille Bergwandern MH550 polarisierend Damen Kategorie 3 pink,8676428,"24,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh550w-polarisierend-damen-kategorie-3/_/R-p-324377?mc=8676428&c=GRAU
DE,Sonnenbrille Wandern MH570 Erwachsene Kategorie 4 schwarz/blau,864165,"29,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-sportbrille-skiing-700-kat-4/_/R-p-113328?mc=864165&c=SCHWARZ
DE,Wandershirt kurzarm Bergwandern MH900 Damen hellgrau,8610728,"24,99€",,QUECHUA,NEU,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/funktionsshirt-speed-hiking-fh900-damen/_/R-p-302189?mc=8610728&c=GRAU_BLAU
DE,Merino Shirt Trekking MT900 langarm hoher Kragen Zip Damen ,8544817,"59,99€","39,99€",FORCLAZ,0,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/merino-shirt-trekking-mt900-langarm-hoher-kragen-zip-damen/_/R-p-306986?mc=8544817&c=ROT_BORDEAUX
DE,Sonnenbrille MH 120A Wandern polarisierend Erwachsene Kategorie 3 ,8615943,"19,99€",,QUECHUA,NEU,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-mh-120a-wandern-polarisierend-erwachsene-kategorie-3/_/R-p-330008?mc=8615943&c=GRAU
DE,Fleecejacke Bergwandern MH950 leicht Damen schwarz,8492259,"39,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/fleecejacke-bergwandern-mh950-leicht-damen/_/R-p-172172?mc=8492259&c=SCHWARZ
DE,Sonnenbrille Wandern MH500 Erwachsene Kategorie 3 schwarz,8559273,"9,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh500-erwachsene-kategorie-3-schwarz/_/R-p-311973?mc=8559273&c=SCHWARZ
DE,Wandershorts Speed Hiking FH500 Damen schwarz,8517690,"24,99€","19,99€",QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandershorts-speed-hiking-fh500-damen-schwarz/_/R-p-302196?mc=8517690&c=SCHWARZ
DE,Wanderkleid OUTdoor Damen bordeaux,8667052,"29,99€",,QUECHUA,NEU,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wanderkleid-outdoor-damen/_/R-p-335372?mc=8667052&c=BORDEAUX
DE,Shorty-Unterzieher für Wanderröcke NH Damen marineblau,8655375,"7,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/shorty-unterzieher-fur-wanderrocke-nh-damen/_/R-p-335270?mc=8655375&c=BLAU
DE,Wanderjacke Naturwandern NH550 Wasserdicht Damen marineblau,8554652,"49,99€","29,99€",QUECHUA,0,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wanderjacke-naturwandern-nh500-damen/_/R-p-150340?mc=8554652&c=BLAU
DE,Wandersocken Winterwandern SH100 X-Warm halbhoch Damen/Herren 2 Paar ,8734168,"9,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandersocken-winterwandern-sh100-x-warm-halbhoch-damen-herren-2-paar/_/R-p-337936?mc=8734168&c=BLAU
DE,Wandershirt kurzarm Bergwandern Columbia Alpine Chill Damen rot,8747562,"39,99€",,COLUMBIA,NEU,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandershirt-kurzarm-bergwandern-columbia-alpine-chill-damen-rot/_/R-p-X8747562?mc=8747562
DE,Wandersocken Hike 900 hoch 2 Paar khaki,8616547,"24,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandersocken-hike-900-hoch-2-paar/_/R-p-330146?mc=8616547&c=GRÜN_KHAKI
DE,Wandershirt kurzarm Speed Hiking FH500 ultraleicht Damen gelb,8736227,"19,99€",,QUECHUA,NEU,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandershirt-kurzarm-speed-hiking-fh500-ultraleicht-damen/_/R-p-338653?mc=8736227&c=GELB
DE,Sonnenbrille Wandern MH160 Polarisierend Erwachsene Kategorie 3 schwarz/pink,8581693,"19,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh160-polarisierend-erwachsene-kategorie-3-schwarz-pink/_/R-p-324492?mc=8581693&c=GRAU
DE,Sonnenbrille Wandern MH530 Havana Damen Kategorie 3 ,8382492,"14,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh530-havana-damen-kategorie-3/_/R-p-122137?mc=8382492&c=BRAUN
DE,Sonnenbrille MH580 Wandern Polarisierend Kategorie 4 Erwachsene blau,8587974,"39,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-mh580-wandern-polarisierend-kategorie-4-erwachsene/_/R-p-312991?mc=8587974&c=SCHWARZ
DE,Longsleeve Pullover Naturwandern NH100 Damen marineblau,8372053,"5,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/longsleeve-pullover-naturwandern-nh100-damen/_/R-p-109945?mc=8372053&c=BLAU
DE,Sonnenbrille MH570 Wandern polarisierend Kategorie 4 Erwachsene schwarz/rot,864164,"34,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-sportbrille-skiing-700-kat-4-polarisierend/_/R-p-150572?mc=864164&c=SCHWARZ
DE,Leggings Winterwandern SH500 Warm wasserabweisend Damen schwarz ,8486884,"39,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/leggings-winterwandern-sh500-warm-wasserabweisend-damen-schwarz/_/R-p-160632?mc=8486884&c=SCHWARZ
DE,Wattierte Jacke Bergtrekking MT50 Komfort bis 0 °C Damen marineblau ,8357148,"14,99€",,FORCLAZ,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wattierte-jacke-bergtrekking-mt50-komfort-bis-0-c-damen/_/R-p-138625?mc=8357148&c=BLAU
DE,Leggings Wanderleggins Speed Hiking FH500 Helium Damen graumeliert,8383208,"19,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/leggings-wanderleggins-speed-hiking-fh500-helium-damen-graumeliert/_/R-p-151351?mc=8383208&c=SCHWARZ
DE,Fleecejacke Hybridjacke Winterwandern SH900 X-Warm Damen weiss ,8544166,"49,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/hybridjacke-winterwandern-sh900-x-warm-damen/_/R-p-159235?mc=8544166&c=WEIß
DE,Regenhose Überziehhose Bergwandern MH500 Damen schwarz,8545325,"39,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/regenhose-uberziehhose-bergwandern-mh500-damen-schwarz/_/R-p-307242?mc=8545325&c=SCHWARZ
DE,Sonnenbrille MH120 Erwachsene Kategorie 3 schwarz,8601481,"14,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-mh120-erwachsene-kategorie-3/_/R-p-327714?mc=8601481&c=SCHWARZ
DE,Wandershirt kurzarm Bergwandern Columbia Alpine Chill Damen grün,8747561,"39,99€",,COLUMBIA,NEU,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandershirt-kurzarm-bergwandern-columbia-alpine-chill-damen-grun/_/R-p-X8747561?mc=8747561
